sa2_code21,sa2_name21,east_west
203021486,Corio - Lovely Banks,West
203021488,Norlane,West
206011109,Pascoe Vale South,West
203031048,Clifton Springs,West
203031049,Lorne - Anglesea,West
203031051,Portarlington,West
203031052,Point Lonsdale - Queenscliff,West
203031053,Torquay,West
203031489,Barwon Heads - Armstrong Creek,West
203031490,Ocean Grove,West
204011054,Alexandra,West
204011055,Euroa,West
204011056,Kilmore - Broadford,West
204011057,Mansfield (Vic.),West
204011058,Nagambie,West
204011059,Seymour,West
204011060,Seymour Surrounds,West
204011061,Upper Yarra Valley,West
204011062,Yea,West
204021063,Benalla,West
204021064,Benalla Surrounds,West
204021065,Rutherglen,West
204031068,Beechworth,West
204031069,Bright - Mount Beauty,West
204031070,Chiltern - Indigo Valley,West
204031071,Myrtleford,West
204031072,Towong,West
204031073,West Wodonga,West
204031075,Yackandandah,West
204031491,Baranduda - Leneva,West
204031492,Wodonga,West
205011076,Drouin,West
205011077,Mount Baw Baw Region,West
205011078,Trafalgar (Vic.),West
205011079,Warragul,West
205021080,Alps - East,West
205021081,Bairnsdale,West
205021082,Bruthen - Omeo,West
205021083,Lake King,West
206011107,Brunswick West,West
206011497,Coburg - East,West
206011498,Coburg - West,West
206041127,West Melbourne - Industrial,West
206021110,Alphington - Fairfield,West
206041503,Melbourne CBD - East,West
206041504,Melbourne CBD - North,West
206021112,Thornbury,West
206021499,Northcote - East,West
206021500,Northcote - West,West
206041121,Kensington (Vic.),West
206031113,Ascot Vale,West
206031115,Flemington,West
206031116,Moonee Ponds,West
206031501,Essendon (West) - Aberfeldie,West
206031502,Essendon - East,West
206041506,North Melbourne,West
206041507,Royal Botanic Gardens Victoria,West
206041508,Southbank (West) - South Wharf,West
206051128,Albert Park,West
206051129,Elwood,West
206051134,St Kilda East,West
206051511,Port Melbourne Industrial,West
206051512,South Melbourne,West
206051513,St Kilda - Central,West
206071143,Fitzroy North,West
206071145,Clifton Hill - Alphington,West
206071517,Richmond (South) - Cremorne,West
206051514,St Kilda - West,West
206061135,Armadale,West
206061136,Prahran - Windsor,West
206061138,Toorak,West
206061515,South Yarra - North,West
206071139,Abbotsford,West
206071140,Carlton North - Princes Hill,West
206071518,Richmond - North,West
207011146,Ashburton (Vic.),West
207011147,Balwyn,West
207011149,Camberwell,West
207011148,Balwyn North,West
207011522,Kew - West,West
207021156,Bulleen,West
207021157,Doncaster,West
207021159,Templestowe,West
207011150,Glen Iris - East,West
207011152,Hawthorn East,West
207011154,Kew East,West
403041089,Woodcroft,West
207011155,Surrey Hills (West) - Canterbury,West
207011519,Hawthorn - North,West
207011520,Hawthorn - South,West
207011521,Kew - South,West
207021160,Templestowe Lower,West
207031162,Blackburn South,West
210031538,Pascoe Vale,West
210041240,Sunbury,West
210041539,Diggers Rest,West
207021424,Doncaster East - North,West
207021425,Doncaster East - South,West
207031161,Blackburn,West
207031163,Box Hill,West
207031165,Burwood (Vic.),West
207031164,Box Hill North,West
208011168,Beaumaris,West
208011170,Brighton East,West
208011169,Brighton (Vic.),West
208011171,Highett (West) - Cheltenham,West
208011172,Hampton,West
208021174,Bentleigh - McKinnon,West
208021176,Carnegie,West
208011173,Sandringham - Black Rock,West
208021177,Caulfield - North,West
208021178,Caulfield - South,West
208021179,Elsternwick,West
208021182,Ormond - Glen Huntly,West
208021426,Bentleigh East - North,West
208021427,Bentleigh East - South,West
208031183,Aspendale Gardens - Waterways,West
208031185,Carrum - Patterson Lakes,West
208031186,Chelsea - Bonbeach,West
208031188,Highett (East) - Cheltenham,West
208031190,Mentone,West
208031189,Edithvale - Aspendale,West
209011196,Bundoora - East,West
209011197,Greensborough,West
208031191,Moorabbin - Heatherton,West
208031192,Moorabbin Airport,West
209011204,Watsonia,West
209021205,Kingsbury,West
208031193,Mordialloc - Parkdale,West
209021429,Preston - West,West
209021523,Reservoir - North East,West
209021524,Reservoir - North West,West
208041194,Malvern - Glen Iris,West
210051250,Tullamarine,West
208041195,Malvern East,West
212031560,Cranbourne North - West,West
209011198,Heidelberg - Rosanna,West
209021526,Reservoir - South West,West
209011199,Heidelberg West,West
209011200,Ivanhoe,West
209031209,Eltham,West
209031210,Hurstbridge,West
209031211,Kinglake,West
209031212,Panton Hill - St Andrews,West
209031213,Plenty - Yarrambat,West
209031214,Research - North Warrandyte,West
209011201,Ivanhoe East - Eaglemont,West
209011202,Montmorency - Briar Hill,West
209011203,Viewbank - Yallambie,West
212031561,Hampton Park - East,West
209021428,Preston - East,West
212031562,Hampton Park - West,West
209021525,Reservoir - South East,West
209031215,Wattle Glen - Diamond Creek,West
209041217,Bundoora - West,West
209041216,Bundoora - North,West
209041431,Epping - East,West
209041432,Epping - South,West
209041220,Mill Park - North,West
209041221,Mill Park - South,West
209041433,Epping (Vic.) - West,West
209041435,South Morang - North,West
209041223,Thomastown,West
209041224,Wallan,West
209041225,Whittlesea,West
209041436,South Morang - South,West
209041437,Wollert,West
209041527,Doreen - North,West
209041528,Doreen - South,West
209041529,Lalor - East,West
209041530,Lalor - West,West
209041531,Mernda - North,West
209041532,Mernda - South,West
210011226,Airport West,West
210011227,Essendon Airport,West
210011228,Keilor,West
210011230,Niddrie - Essendon West,West
210011231,Strathmore,West
210011533,Avondale Heights,West
210011534,Keilor East,West
210021232,Gisborne,West
210031535,Glenroy - East,West
210021233,Macedon,West
210021234,Riddells Creek,West
210021235,Romsey,West
511031281,Kalgoorlie Airport,West
210031236,Coburg North,West
210031237,Fawkner,West
210031439,Gowanbrae,West
210031440,Hadfield,West
511031282,Kambalda - Coolgardie - Norseman,West
511031283,Leinster - Leonora,West
210031536,Glenroy - West,West
210031537,Oak Park,West
210041540,Sunbury - South,West
210051545,Roxburgh Park - North,West
211011251,Bayswater,West
210041541,Sunbury - West,West
211011254,Knoxfield - Scoresby,West
211031452,Croydon South,West
210051242,Broadmeadows,West
210051542,Craigieburn - North West,West
210051243,Campbellfield - Coolaroo,West
210051245,Gladstone Park - Westmeadows,West
210051246,Greenvale - Bulla,West
210051247,Meadow Heights,West
210051248,Melbourne Airport,West
210051441,Craigieburn - Central,West
210051442,Craigieburn - North,West
210051543,Craigieburn - West,West
210051443,Craigieburn - South,West
210051445,Mickleham - Yuroke,West
210051544,Roxburgh Park (South) - Somerton,West
303021057,Holland Park West,East
211011255,Lysterfield,West
211011257,Rowville - North,West
211011258,Rowville - South,West
211011259,Wantirna,West
211011260,Wantirna South,West
211011256,Rowville - Central,West
211011446,Boronia,West
211011447,Ferntree Gully - North,West
211031265,Croydon Hills - Warranwood,West
211031266,Ringwood,West
211031267,Ringwood East,West
211011448,Ferntree Gully (South) - Upper Ferntree Gully,West
211031268,Ringwood North,West
303031061,Macgregor (Qld),East
211011449,The Basin,West
211021261,Donvale - Park Orchards,West
211021262,Warrandyte - Wonga Park,West
211031450,Croydon - East,West
211031451,Croydon - West,West
211031263,Bayswater North,West
211041269,Forest Hill,West
211041270,Mitcham (Vic.),West
211041272,Vermont,West
211041273,Vermont South,West
211051274,Belgrave - Selby,West
211041271,Nunawading,West
211051275,Chirnside Park,West
211051276,Healesville - Yarra Glen,West
211051277,Kilsyth,West
211051278,Lilydale - Coldstream,West
211051279,Monbulk - Silvan,West
211051280,Montrose,West
211051281,Mooroolbark,West
211051282,Mount Dandenong - Olinda,West
211051283,Mount Evelyn,West
211051284,Upwey - Tecoma,West
211051285,Wandin - Seville,West
211051286,Yarra Valley,West
212011289,Emerald - Cockatoo,West
212011546,Beaconsfield - Officer,West
212011547,Bunyip - Garfield,West
212011548,Koo Wee Rup,West
212011551,Pakenham - South East,West
212011549,Pakenham - North East,West
212011550,Pakenham - North West,West
212021454,Endeavour Hills - South,West
212011552,Pakenham - South West,West
212021293,Berwick - North,West
212021295,Doveton,West
212021297,Hallam,West
212021299,Narre Warren North,West
212031304,Cranbourne West,West
212021453,Endeavour Hills - North,West
212021455,Narre Warren - North East,West
212021456,Narre Warren - South West,West
212021553,Berwick - South East,West
212021554,Berwick - South West,West
212031300,Cranbourne,West
212031303,Cranbourne South,West
212031457,Narre Warren South - East,West
212031458,Narre Warren South - West,West
212041309,Clarinda - Oakleigh South,West
212031555,Clyde North - North,West
212051567,Clayton (North) - Notting Hill,West
212031556,Clyde North - South,West
212031557,Cranbourne East - North,West
212041310,Clayton South,West
212041312,Dandenong North,West
212041313,Dingley Village,West
212041316,Noble Park North,West
212041317,Springvale,West
212041318,Springvale South,West
212041459,Noble Park - East,West
212041460,Noble Park - West,West
212041563,Dandenong - North,West
213051362,Hoppers Crossing - South,West
212041564,Dandenong - South,West
212041565,Keysborough - North,West
212041566,Keysborough - South,West
212051319,Ashwood - Chadstone,West
212051321,Glen Waverley - East,West
212051568,Clayton - Central,West
212051322,Glen Waverley - West,West
212051323,Mount Waverley - North,West
213011328,Ardeer - Albion,West
212051324,Mount Waverley - South,West
212051325,Mulgrave,West
212051326,Oakleigh - Huntingdale,West
212051327,Wheelers Hill,West
213011329,Cairnlea,West
213011331,Delahey,West
213011332,Keilor Downs,West
213011333,Kings Park (Vic.),West
213011334,St Albans - North,West
213031352,Yarraville,West
213041353,Bacchus Marsh,West
213041358,Melton West,West
213041359,Rockbank - Mount Cottrell,West
213011335,St Albans - South,West
213011337,Sunshine North,West
213011336,Sunshine,West
213011339,Sydenham,West
213011340,Taylors Lakes,West
213011338,Sunshine West,West
213021342,Altona Meadows,West
213011569,Deer Park,West
213011570,Derrimut,West
213021343,Altona North,West
213021341,Altona,West
213021344,Newport,West
213021345,Seabrook,West
213021346,Williamstown,West
213031351,West Footscray - Tottenham,West
213031347,Braybrook,West
213031348,Footscray,West
213031349,Maribyrnong,West
213031350,Seddon - Kingsville,West
213041462,Burnside Heights,West
213041463,Caroline Springs,West
213041571,Brookfield,West
213041572,Cobblebank - Strathtulloh,West
213041573,Eynesbury - Exford,West
213041574,Fraser Rise - Plumpton,West
213051361,Hoppers Crossing - North,West
213051363,Laverton,West
213051368,Werribee - South,West
213051464,Point Cook - East,West
213051466,Point Cook - South,West
303041071,Tarragindi,East
213051467,Werribee - East,West
213051468,Werribee - West,West
213051579,Manor Lakes - Quandong,West
405041124,Kadina,West
213051580,Point Cook - North East,West
213051581,Point Cook - North West,West
213051582,Tarneit (West) - Mount Cottrell,West
214011372,Frankston North,West
405041125,Moonta,West
213051583,Tarneit - Central,West
406011132,Le Hunte - Elliston,West
406011133,Port Lincoln,West
406011134,West Coast (SA),West
213051584,Tarneit - North,West
213051585,Tarneit - South,West
302041042,Brighton (Qld),East
213051586,Truganina - North,West
213051587,Truganina - South East,West
213051588,Truganina - South West,West
213051589,Wyndham Vale - North,West
213051590,Wyndham Vale - South,West
214011370,Carrum Downs,West
214011371,Frankston,West
214011373,Frankston South,West
214011374,Langwarrin,West
214011375,Seaford (Vic.),West
214011376,Skye - Sandhurst,West
214021377,Dromana,West
214021378,Flinders,West
214021379,Hastings - Somers,West
214021381,Mount Eliza,West
214021382,Mount Martha,West
214021383,Point Nepean,West
302041046,Zillmere,East
214021384,Rosebud - McCrae,West
217031472,Colac,West
217031473,Colac Surrounds,West
217031474,Corangamite - North,West
217031475,Corangamite - South,West
217031476,Otway,West
217041477,Moyne - East,West
217041478,Moyne - West,West
217041479,Warrnambool - North,West
217041480,Warrnambool - South,West
214021385,Somerville,West
214021591,Mornington - East,West
214021592,Mornington - West,West
301011001,Alexandra Hills,East
301011002,Belmont - Gumdale,East
215011386,Ararat,West
215011387,Ararat Surrounds,West
216011409,Rochester,West
216011410,Rushworth,West
216021411,Cobram,West
216021412,Moira,West
216021413,Numurkah,West
216021414,Yarrawonga,West
215011388,Horsham,West
215011389,Horsham Surrounds,West
215011390,Nhill Region,West
215011391,St Arnaud,West
215011392,Stawell,West
215011393,West Wimmera,West
215011394,Yarriambiack,West
215021395,Irymple,West
215021396,Merbein,West
215021398,Mildura Surrounds,West
215021399,Red Cliffs,West
215021469,Mildura - North,West
215021470,Mildura - South,West
215031400,Buloke,West
215031401,Gannawarra,West
215031402,Kerang,West
215031403,Robinvale,West
215031404,Swan Hill,West
215031405,Swan Hill Surrounds,West
216011406,Echuca,West
216011407,Kyabram,West
216011408,Lockington - Gunbower,West
216031415,Mooroopna,West
217031471,Camperdown,West
301011003,Birkdale,East
301011004,Capalaba,East
301031016,Manly West,East
301011005,Thorneside,East
301011006,Wellington Point,East
301021007,Cleveland,East
301021008,Ormiston,East
301021009,Redland Bay,East
301021011,Sheldon - Mount Cotton,East
301021012,Thornlands,East
301021013,Victoria Point,East
301021550,North Stradbroke Island,East
301021551,Southern Moreton Bay Islands,East
301031014,Brisbane Port - Lytton,East
301031015,Manly - Lota,East
301031017,Murarrie,East
302011026,McDowall,East
301031018,Tingalpa,East
301031019,Wakerley,East
301031020,Wynnum,East
302021029,Chermside West,East
701011003,East Point,West
301031021,Wynnum West - Hemmant,East
302011022,Bald Hills,East
302021030,Geebung,East
302011023,Bridgeman Downs,East
302011024,Carseldine,East
302021034,Wavell Heights,East
302031035,Boondall,East
302011025,Everton Park,East
302021027,Aspley,East
302021028,Chermside,East
302021031,Kedron - Gordon Park,East
302031037,Eagle Farm - Pinkenba,East
701021013,Brinkin - Nakara,West
302021032,Stafford,East
302021033,Stafford Heights,East
302031036,Brisbane Airport,East
302031038,Northgate - Virginia,East
302031039,Nudgee - Banyo,East
302031040,Nundah,East
302041041,Bracken Ridge,East
302041043,Deagon,East
302041045,Taigum - Fitzgibbon,East
302041044,Sandgate - Shorncliffe,East
303011047,Camp Hill,East
303011048,Cannon Hill,East
303021055,Greenslopes,East
303011049,Carina,East
303011050,Carina Heights,East
303021056,Holland Park,East
303011051,Carindale,East
303021052,Annerley,East
303021053,Coorparoo,East
303021054,Fairfield - Dutton Park,East
303021058,Woolloongabba,East
303021059,Yeronga,East
303031060,Eight Mile Plains,East
303031062,Mansfield (Qld),East
303031063,Mount Gravatt,East
303031064,Rochedale - Burbank,East
303031065,Upper Mount Gravatt,East
303031066,Wishart,East
303041067,Coopers Plains,East
303041070,Salisbury - Nathan,East
303041068,Moorooka,East
303041069,Robertson,East
303051072,Algester,East
303051073,Calamvale - Stretton,East
303051074,Pallara - Willawong,East
303051075,Parkinson - Drewvale,East
303051076,Rocklea - Acacia Ridge,East
303061077,Kuraby,East
303061078,Runcorn,East
303061079,Sunnybank,East
303061080,Sunnybank Hills,East
305041133,Auchenflower,East
304011081,Jindalee - Mount Ommaney,East
304011082,Middle Park - Jamboree Heights,East
801051050,Ainslie,West
304011083,Riverhills,East
304011084,Seventeen Mile Rocks - Sinnamon Park,East
304011085,Westlake,East
304021088,Chapel Hill,East
304021086,Bellbowrie - Moggill,East
304021087,Brookfield - Kenmore Hills,East
304021089,Fig Tree Pocket,East
507011154,Hamilton Hill,West
304021090,Kenmore,East
304021091,Pinjarra Hills - Pullenvale,East
304031092,Chelmer - Graceville,East
304031093,Corinda,East
304031094,Indooroopilly,East
309061247,Highland Park,East
304031095,Sherwood,East
304031096,St Lucia,East
304031097,Taringa,East
309061248,Nerang - Mount Nathan,East
311061329,Daisy Hill,East
304041098,Enoggera,East
304041099,Enoggera Reservoir,East
304041100,Keperra,East
304041101,Mitchelton,East
309091265,Parkwood,East
304041102,Mount Coot-tha,East
304041103,The Gap,East
309101268,Bundall,East
304041104,Upper Kedron - Ferny Grove,East
306021152,Manunda,West
305011105,Brisbane City,East
305011106,Fortitude Valley,East
306021153,Mount Sheridan,West
305011107,Highgate Hill,East
305011110,South Brisbane,East
305011108,Kangaroo Point,East
305011111,Spring Hill,East
305011109,New Farm,East
305031119,Albion,East
305011112,West End,East
305021113,Balmoral,East
306021156,Whitfield - Edge Hill,West
305021114,Bulimba,East
306031163,Yarrabah,West
306041164,Daintree,West
306041165,Port Douglas,West
306051166,Atherton,West
306051167,Herberton,West
306051168,Kuranda,West
306051169,Malanda - Yungaburra,West
306051170,Mareeba,West
307011171,Balonne,West
307011172,Chinchilla,East
801051051,Braddon,West
305021115,East Brisbane,East
305031121,Ascot,East
307021181,Millmerran,East
307021182,Pittsworth,East
307021183,Wambo,East
307031184,Clifton - Greenmount,East
305021116,Hawthorne,East
307031185,Southern Downs - East,East
307031186,Southern Downs - West,East
310011274,Inala - Richlands,East
305021117,Morningside - Seven Hills,East
305031126,Kelvin Grove - Herston,East
310031291,Leichhardt - One Mile,East
305021118,Norman Park,East
310041298,Carole Park,East
310041299,Collingwood Park - Redbank,East
310041300,Goodna,East
305031120,Alderley,East
305031130,Windsor,East
305031122,Clayfield,East
305031123,Grange,East
305031124,Hamilton (Qld),East
305031125,Hendra,East
305031127,Newmarket,East
305031131,Wooloowin - Lutwyche,East
305041132,Ashgrove,East
305031128,Newstead - Bowen Hills,East
305031129,Wilston,East
305041134,Bardon,East
305041135,Paddington - Milton,East
305041136,Red Hill (Qld),East
306021144,Bentley Park,West
305041137,Toowong,East
306011138,Brinsmead,West
306011139,Clifton Beach - Kewarra Beach,West
306011140,Freshwater - Stratford,West
306011141,Redlynch,West
306011142,Trinity Beach - Smithfield,West
306011143,Yorkeys Knob - Machans Beach,West
306021145,Cairns City,West
308011192,Emerald,West
306021146,Earlville - Bayview Heights,West
306021149,Kanimbla - Mooroobool,West
306021150,Lamb Range,West
306021147,Edmonton,West
306021148,Gordonvale - Trinity,West
306021154,Westcourt - Bungalow,West
306021155,White Rock,West
306021157,Woree,West
306031158,Babinda,West
308031214,Park Avenue,West
308031215,Parkhurst - Kawana,West
306031159,Innisfail,West
306031160,Johnstone,West
306031161,Tully,West
306031162,Wooroonooran,West
307011173,Goondiwindi,West
307011174,Inglewood - Waggamba,East
307011175,Miles - Wandoan,West
307011176,Roma,West
307011177,Roma Surrounds,West
307011178,Tara,West
307021179,Crows Nest - Rosalie,East
307021180,Jondaryan,East
307031187,Stanthorpe,East
307031188,Stanthorpe Surrounds,East
309061250,Worongary - Tallai,East
307031189,Warwick,East
308011190,Central Highlands - East,West
308011191,Central Highlands - West,West
308031205,Berserker,West
308031206,Bouldercombe,West
308031207,Emu Park,West
309081259,Clear Island Waters,East
308031208,Frenchville - Mount Archer,West
308031209,Glenlee - Rockyview,West
308031210,Gracemere,West
308031211,Lakes Creek,West
308031212,Mount Morgan,West
309081260,Merrimac,East
308031213,Norman Gardens,West
801011014,Higgins,West
308031216,Rockhampton - West,West
308031217,Rockhampton City,West
308031218,Rockhampton Surrounds - East,West
308031219,Rockhampton Surrounds - North,West
308031220,Rockhampton Surrounds - West,West
308031221,Shoalwater Bay,West
308031222,The Range - Allenstown,West
308031223,Yeppoon,West
308041528,Banana,West
308041529,Biloela,West
308051530,Agnes Water - Miriam Vale,East
308051531,Boyne Island - Tannum Sands,East
308051532,Callemondah,East
308051533,Clinton - New Auckland,East
308051534,Gladstone,East
308051535,Gladstone Hinterland,East
308051536,Kin Kora - Sun Valley,East
308051537,South Trees,East
308051538,Telina - Toolooa,East
311031316,Hillcrest,East
308051539,West Gladstone,East
309011224,Broadbeach Waters,East
309011225,Burleigh Heads,East
309011226,Burleigh Waters,East
309011227,Mermaid Beach - Broadbeach,East
311021306,Beenleigh,East
309011228,Mermaid Waters,East
309021230,Coolangatta,East
309011229,Miami,East
309031236,Biggera Waters,East
309021231,Currumbin - Tugun,East
309021232,Currumbin Waters,East
309021233,Elanora,East
309031238,Labrador,East
309021234,Palm Beach,East
309031235,Arundel,East
309031237,Coombabah,East
309051245,Reedy Creek - Andrews,East
309031239,Paradise Point - Hollywell,East
309031240,Runaway Bay,East
309041241,Guanaba - Springbrook,East
309041242,Tamborine - Canungra,East
309061246,Carrara,East
309051243,Currumbin Valley - Tallebudgera,East
309051244,Mudgeeraba - Bonogin,East
309061249,Pacific Pines - Gaven,East
311061331,Logan Central,East
309071251,Coomera,East
309071252,Helensvale,East
309071253,Hope Island,East
309071254,Jacobs Well - Alberton,East
309071256,Oxenford - Maudsland,East
309071552,Ormeau (East) - Stapylton,East
309071553,Ormeau (West) - Yatala,East
309071554,Pimpama - North,East
309071555,Pimpama - South,East
309071556,Upper Coomera (South) - Wongawallan,East
309071557,Upper Coomera - North,East
309081262,Varsity Lakes,East
309071558,Willow Vale - Pimpama (West),East
309081559,Robina - East,East
309081560,Robina - West,East
309091263,Ashmore,East
309091264,Molendinar,East
309091540,Southport - North,East
309091541,Southport - South,East
309101267,Benowa,East
309101269,Main Beach,East
309101561,Surfers Paradise - North,East
309101562,Surfers Paradise - South,East
310011271,Darra - Sumner,East
310011272,Durack,East
310011275,Oxley (Qld),East
801011015,Holt,West
310011276,Wacol,East
310011563,Doolandella,East
801011020,Macquarie,West
310011564,Forest Lake - Ellen Grove,East
310021277,Boonah,East
310021278,Esk,East
310021279,Lake Manchester - England Creek,East
310021280,Lockyer Valley - East,East
310021281,Lowood,East
310021282,Rosewood,East
311021307,Eagleby,East
310031283,Brassall,East
310031284,Bundamba,East
310031285,Churchill - Yamanto,East
310031286,Ipswich - Central,East
310031287,Ipswich - East,East
310031288,Ipswich - North,East
310031289,Karalee - Barellan Point,East
310031290,Karana Downs,East
310031292,North Ipswich - Tivoli,East
311021308,Edens Landing - Holmview,East
310031293,Raceview,East
310031294,Ripley,East
310031295,Riverview,East
310041297,Camira - Gailes,East
310041301,New Chum,East
311021309,Mount Warren Park,East
310041302,Redbank Plains,East
310041303,Springfield,East
311061332,Rochedale South - Priestdale,East
310041304,Springfield Lakes,East
310041565,Augustine Heights - Brookwater,East
311031311,Boronia Heights - Park Ridge,East
310041566,Bellbird Park,East
311011305,Beaudesert,East
311021310,Wolffdene - Bahrs Scrub,East
311061335,Underwood,East
311031312,Browns Plains,East
311031315,Greenbank Military Camp,East
311031313,Chambers Flat - Logan Reserve,East
311031314,Crestmead,East
311031317,Marsden,East
311031318,Munruben - Park Ridge South,East
311061336,Woodridge,East
311031319,Regents Park - Heritage Park,East
311051323,Bethania - Waterford,East
312021347,Mackay Harbour,West
311041322,Logan Village,East
311041567,Flagstone (East) - Riverbend,East
311041568,Flagstone (West) - New Beith,East
311051327,Shailer Park,East
311041569,Greenbank - North Maclean,East
311041570,Jimboomba - Glenlogan,East
505031102,Girrawheen,West
311041571,Yarrabilba,East
317011457,Toowoomba - East,East
317011458,Toowoomba - West,East
311051324,Cornubia - Carbrook,East
311051325,Loganholme - Tanah Merah,East
311051328,Waterford West,East
311051326,Loganlea,East
311061330,Kingston (Qld),East
505031104,Marangaroo,West
311061333,Slacks Creek,East
311061334,Springwood,East
505031105,Mindarie - Quinns Rocks - Jindalee,West
312011337,Bowen,West
312011338,Broadsound - Nebo,West
312011339,Clermont,West
312011340,Collinsville,West
318021485,Mundingburra,West
318021486,Northern Beaches,West
312011341,Moranbah,West
312021342,Andergrove - Beaconsfield,West
312021348,Mount Pleasant - Glenella,West
312021343,East Mackay,West
312021349,North Mackay,West
312021344,Eimeo - Rural View,West
312021345,Eungella Hinterland,West
312021346,Mackay,West
312021350,Ooralea - Bakers Creek,West
312021351,Pioneer Valley,West
312021352,Sarina,West
312021353,Seaforth - Calen,West
312021356,South Mackay,West
312021357,Walkerston - Eton,West
312021358,West Mackay,West
312031359,Airlie - Whitsundays,West
312031360,Cape Conway,West
312031361,Proserpine,West
313011362,Beachmere - Sandstone Point,East
313011363,Bribie Island,East
312021354,Shoal Point - Bucasia,West
312021355,Slade Point,West
313021364,Burpengary - East,East
313021366,Caboolture - South,East
313021368,Morayfield - East,East
313021369,Wamuran,East
313021367,Elimbah,East
313021572,Caboolture - East,East
313051378,Margate - Woody Point,East
313021573,Caboolture - West,East
313031370,Kilcoy,East
313031371,Woodford - D'Aguilar,East
313051379,Redcliffe,East
313051380,Rothwell - Kippa-Ring,East
313051574,Moreton Island,East
313041372,Burpengary,East
313041373,Deception Bay,East
402041043,Parafield Gardens,West
313041374,Morayfield,East
313041375,Narangba,East
313041376,Upper Caboolture,East
313051377,Clontarf,East
319011500,Millbank - Avoca,East
313051575,Scarborough - Newport,East
316011415,Mountain Creek,East
314011382,Albany Creek,East
314011383,Cashmere,East
314011384,Dayboro,East
316011416,Sippy Downs,East
314011385,Eatons Hill,East
314011386,The Hills District,East
314011387,Samford Valley,East
316021417,Aroona - Currimundi,East
